,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/alpha,config/colsample_bylevel,config/colsample_bytree,config/gamma,config/lambda,config/learning_rate,config/max_depth,config/min_child_weight,config/objective,config/subsample,logdir
387,0.9306412530211629,1.598369836807251,False,,,1,-0.9306412530211629,df732b57,2ebdfe0d99b54a9aa2b75059f228a04f,2023-03-11_12-33-58,1678530838,1.598369836807251,195381,dx6-mat-32,128.214.72.230,1.598369836807251,0,1,0.0047166347503662,9.366368579668497e-05,0.5366738941775897,0.8373626873901404,0.00010143431354096083,1.3663635589199728e-05,0.03803323444078052,8,3.0982688733127298e-06,reg:squarederror,0.8951145904332043,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_df732b57_388_alpha=0.0001,colsample_bylevel=0.5367,colsample_bytree=0.8374,gamma=0.0001,lambda=0.0000,learning_rate=0.03_2023-03-11_12-33-56"
388,0.6676842708175981,1.2161948680877686,False,,,1,-0.6676842708175981,2662df3c,791ac5063f014f3c923bc8a5e418bd46,2023-03-11_12-33-58,1678530838,1.2161948680877686,195556,dx6-mat-32,128.214.72.230,1.2161948680877686,0,1,0.0034003257751464,2.076238418539918e-05,0.6592930365562819,0.8614718989615366,0.0014091459132867861,1.3004150820369234e-06,0.38993746514769834,7,9.59193637930634e-09,reg:squarederror,0.8537596447401534,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_2662df3c_389_alpha=0.0000,colsample_bylevel=0.6593,colsample_bytree=0.8615,gamma=0.0014,lambda=0.0000,learning_rate=0.38_2023-03-11_12-33-57"
389,0.6325971159018973,1.3981056213378906,False,,,1,-0.6325971159018973,f3c35a27,d7193c4e25e74f409115412dfb28e7a7,2023-03-11_12-33-58,1678530838,1.3981056213378906,195563,dx6-mat-32,128.214.72.230,1.3981056213378906,0,1,0.003608226776123,0.001673011732009465,0.7486991233965101,0.7606695939564048,1.7247514260218478e-05,2.567239613889957e-06,0.09834830559080723,6,3.3556175027037727e-09,reg:squarederror,0.870939403913089,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_f3c35a27_390_alpha=0.0017,colsample_bylevel=0.7487,colsample_bytree=0.7607,gamma=0.0000,lambda=0.0000,learning_rate=0.09_2023-03-11_12-33-57"
390,0.6829027606759939,0.7843735218048096,False,,,1,-0.6829027606759939,22c97a39,6de8e2a6b02b469599cedfaa588ff4ea,2023-03-11_12-33-58,1678530838,0.7843735218048096,195438,dx6-mat-32,128.214.72.230,0.7843735218048096,0,1,0.0034887790679931,0.00021061834813435683,0.5754384186755394,0.6909995315458687,3.0131219829586222e-06,0.0003175204110412968,0.23675824713436983,4,4.0262039608424954e-05,reg:squarederror,0.7805624738871607,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_22c97a39_391_alpha=0.0002,colsample_bylevel=0.5754,colsample_bytree=0.6910,gamma=0.0000,lambda=0.0003,learning_rate=0.23_2023-03-11_12-33-57"
391,0.6371844234451158,1.4698646068572998,False,,,1,-0.6371844234451158,e1d56a2a,791ac5063f014f3c923bc8a5e418bd46,2023-03-11_12-33-59,1678530839,1.4698646068572998,195556,dx6-mat-32,128.214.72.230,1.4698646068572998,0,1,0.0034003257751464,3.2340491503993033e-06,0.44768327648863226,0.9648586197123049,6.21969136137315e-05,4.154575429611694e-06,0.17029592879801445,8,3.055957221614356e-10,reg:squarederror,0.6715206617662263,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_e1d56a2a_392_alpha=0.0000,colsample_bylevel=0.4477,colsample_bytree=0.9649,gamma=0.0001,lambda=0.0000,learning_rate=0.17_2023-03-11_12-33-58"
392,0.6055616577430405,2.108889102935791,False,,,1,-0.6055616577430405,46564055,2ebdfe0d99b54a9aa2b75059f228a04f,2023-03-11_12-34-00,1678530840,2.108889102935791,195381,dx6-mat-32,128.214.72.230,2.108889102935791,0,1,0.0047166347503662,1.770805966795164e-08,0.4025387339361044,0.8934324982169971,0.0005499811229565523,2.5640650766694125e-05,0.10959579045730274,9,7.823920961364419e-06,reg:squarederror,0.923767767922233,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_46564055_393_alpha=0.0000,colsample_bylevel=0.4025,colsample_bytree=0.8934,gamma=0.0005,lambda=0.0000,learning_rate=0.10_2023-03-11_12-33-58"
393,0.6220505741440279,2.245325326919556,False,,,1,-0.6220505741440279,79d4981e,6de8e2a6b02b469599cedfaa588ff4ea,2023-03-11_12-34-01,1678530841,2.245325326919556,195438,dx6-mat-32,128.214.72.230,2.245325326919556,0,1,0.0034887790679931,0.0005159493870791782,0.7806382061282753,0.9170005390892366,0.012917679638334862,0.014613546055929197,0.06918339301595763,8,4.321907058524449e-07,reg:squarederror,0.9020108352023729,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_79d4981e_394_alpha=0.0005,colsample_bylevel=0.7806,colsample_bytree=0.9170,gamma=0.0129,lambda=0.0146,learning_rate=0.06_2023-03-11_12-33-58"
394,0.647286262728435,1.1660242080688477,False,,,1,-0.647286262728435,a459402f,d7193c4e25e74f409115412dfb28e7a7,2023-03-11_12-34-00,1678530840,1.1660242080688477,195563,dx6-mat-32,128.214.72.230,1.1660242080688477,0,1,0.003608226776123,1.7346383334532107e-07,0.6081123443663826,0.6039417182689324,6.359361318390296e-07,6.626955852805533e-07,0.21909392821782733,7,1.0962086074467655e-07,reg:squarederror,0.82344842433887,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_a459402f_395_alpha=0.0000,colsample_bylevel=0.6081,colsample_bytree=0.6039,gamma=0.0000,lambda=0.0000,learning_rate=0.21_2023-03-11_12-33-59"
395,0.9654259542720948,2.082197666168213,False,,,1,-0.9654259542720948,5d035a39,791ac5063f014f3c923bc8a5e418bd46,2023-03-11_12-34-02,1678530842,2.082197666168213,195556,dx6-mat-32,128.214.72.230,2.082197666168213,0,1,0.0034003257751464,9.434254220569972e-09,0.7077809185271412,0.7933946032483371,2.1600070354634594e-06,3.814361872539474e-05,0.8572352145757214,9,2.82836831535463e-07,reg:squarederror,0.7227440745698428,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_5d035a39_396_alpha=0.0000,colsample_bylevel=0.7078,colsample_bytree=0.7934,gamma=0.0000,lambda=0.0000,learning_rate=0.85_2023-03-11_12-34-00"
396,0.7200567494667436,1.1748626232147217,False,,,1,-0.7200567494667436,e2a211af,d7193c4e25e74f409115412dfb28e7a7,2023-03-11_12-34-01,1678530841,1.1748626232147217,195563,dx6-mat-32,128.214.72.230,1.1748626232147217,0,1,0.003608226776123,0.0024718836145872303,0.22620562316211468,0.738486017064293,3.003774627064055e-05,0.6561945502519789,0.059376349101650905,8,1.612069470899096e-10,reg:squarederror,0.9996263690524688,"/home/kitadam/ray_results/objective_2023-03-11_12-30-54/objective_e2a211af_397_alpha=0.0025,colsample_bylevel=0.2262,colsample_bytree=0.7385,gamma=0.0000,lambda=0.6562,learning_rate=0.05_2023-03-11_12-34-00"
